Site;SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-18 06:00:00;26;76.6;36.9;52.5
2023-01-18 07:00:00;23;77.0;38.9;53.8
2023-01-18 08:00:00;23;77.0;38.9;53.6
2023-01-18 09:00:00;23;76.7;39.0;53.7
2023-01-18 10:00:00;23;76.9;38.4;53.3
2023-01-18 11:00:00;23;76.9;38.1;52.9
2023-01-18 12:00:00;25;77.5;44.3;55.1
2023-01-18 13:00:00;24;76.9;37.9;53.1
2023-01-18 14:00:00;29;77.7;45.1;56.1
2023-01-18 15:00:00;24;77.0;39.1;54.6
2023-01-18 16:00:00;28;77.7;45.1;56.4
2023-01-18 17:00:00;25;77.0;38.7;54.1
2023-01-18 18:00:00;30;77.6;43.4;56.2
2023-01-18 19:00:00;28;77.4;39.9;55.4
2023-01-18 20:00:00;28;77.1;39.0;55.3
2023-01-18 21:00:00;29;77.7;43.6;55.5
2023-01-18 22:00:00;27;77.0;37.0;53.4
2023-01-18 23:00:00;31;77.8;43.8;56.4
2023-01-19 00:00:00;29;77.2;38.0;55.0
2023-01-19 01:00:00;31;77.3;38.4;55.5
2023-01-19 02:00:00;33;78.4;44.5;57.8
2023-01-19 03:00:00;32;78.0;39.0;57.1
2023-01-19 04:00:00;32;78.0;39.0;57.4
2023-01-19 05:00:00;35;78.4;44.8;58.8
2023-01-19 06:00:00;35;78.1;40.5;60.1
2023-01-19 07:00:00;31;78.6;42.9;62.0
2023-01-19 08:00:00;33;78.8;46.2;62.2
2023-01-19 09:00:00;32;78.7;42.8;62.3
2023-01-19 10:00:00;30;78.6;42.7;61.5
2023-01-19 11:00:00;30;78.8;45.7;59.7
2023-01-19 12:00:00;25;77.9;41.6;58.5
2023-01-19 13:00:00;27;78.4;46.1;58.5
2023-01-19 14:00:00;25;77.9;40.5;56.7
2023-01-19 15:00:00;28;78.6;45.9;57.7
2023-01-19 16:00:00;24;77.7;40.1;56.0
2023-01-19 17:00:00;27;78.0;40.9;56.9
2023-01-19 18:00:00;29;78.3;45.2;59.0
2023-01-19 19:00:00;32;78.2;40.3;59.2
2023-01-19 20:00:00;33;79.0;45.6;59.8
2023-01-19 21:00:00;32;78.1;39.2;57.5
2023-01-19 22:00:00;34;78.6;44.7;59.0
2023-01-19 23:00:00;34;78.4;39.8;58.9
2023-01-20 00:00:00;36;78.8;42.9;59.3
2023-01-20 01:00:00;36;79.2;42.5;60.2
2023-01-20 02:00:00;36;78.9;41.0;60.7
2023-01-20 03:00:00;37;79.1;42.4;60.6
2023-01-20 04:00:00;37;79.3;43.8;61.6
2023-01-20 05:00:00;36;78.9;41.0;61.4
2023-01-20 06:00:00;38;79.5;42.1;63.5
2023-01-20 07:00:00;36;80.0;46.9;64.8
2023-01-20 08:00:00;34;79.8;44.0;64.9
2023-01-20 09:00:00;34;79.6;44.0;64.9
2023-01-20 10:00:00;36;80.0;46.2;64.0
2023-01-20 11:00:00;31;79.6;42.6;61.7
2023-01-20 12:00:00;28;79.4;44.5;59.9
2023-01-20 13:00:00;26;79.2;44.1;58.5
2023-01-20 14:00:00;28;79.1;40.9;57.0
2023-01-20 15:00:00;29;79.4;44.1;56.9
2023-01-20 16:00:00;26;78.8;39.7;56.1
2023-01-20 17:00:00;30;79.2;45.9;58.8
