Site;SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-16 05:00:00;1;68.4;42.1;60.0
2023-01-16 06:00:00;39;79.8;46.5;65.1
2023-01-16 07:00:00;18;79.9;43.5;53.8
2023-01-16 08:00:00;24;78.7;36.2;47.4
2023-01-16 09:00:00;22;80.3;50.5;65.6
2023-01-16 10:00:00;21;77.9;40.3;51.7
2023-01-16 11:00:00;12;78.8;40.5;47.7
2023-01-16 12:00:00;20;78.3;35.8;45.9
2023-01-16 13:00:00;13;79.5;40.6;48.7
2023-01-16 14:00:00;21;78.6;37.7;48.7
2023-01-16 15:00:00;19;80.2;53.3;65.0
2023-01-16 16:00:00;23;80.1;51.1;65.0
2023-01-16 17:00:00;24;80.2;50.6;65.0
2023-01-16 18:00:00;26;80.1;49.4;65.0
2023-01-16 19:00:00;24;80.2;50.2;65.0
2023-01-16 20:00:00;27;80.2;49.2;65.0
2023-01-16 21:00:00;23;80.2;51.0;65.0
2023-01-16 22:00:00;16;79.9;54.4;65.4
2023-01-16 23:00:00;2;70.0;39.5;46.1
2023-01-17 00:00:00;7;75.0;27.4;33.8
2023-01-17 01:00:00;7;73.9;28.0;34.0
2023-01-17 02:00:00;7;75.0;28.0;33.9
2023-01-17 03:00:00;11;76.0;41.5;47.7
2023-01-17 04:00:00;8;76.4;27.4;33.7
2023-01-17 05:00:00;7;75.0;28.1;33.8
2023-01-17 06:00:00;38;80.5;46.2;65.0
2023-01-17 07:00:00;21;80.2;41.9;54.0
2023-01-17 08:00:00;29;80.4;46.2;60.7
2023-01-17 09:00:00;22;79.6;40.0;51.4
2023-01-17 10:00:00;15;79.5;39.7;48.1
2023-01-17 11:00:00;25;80.0;44.6;58.1
2023-01-17 12:00:00;11;79.3;33.4;40.6
2023-01-17 13:00:00;14;78.0;33.6;40.7
2023-01-17 14:00:00;30;80.2;45.3;60.2
2023-01-17 15:00:00;14;79.7;39.1;47.3
